"Fecha Tiempo, GMT-05:00","Temp, °C (SEN S/N: 20486631, LBL: Pared Sur)","Temp, °C (SEN S/N: 20486631, LBL: Psred Oeste)","Temp, °C (SEN S/N: 20486631, LBL: Pared Oeste exterior)","Temp, °C (SEN S/N: 20486631, LBL: Ventana)"
08/18/21 10:15:00,10.191,6.876,7.080,14.786
08/18/21 10:30:00,10.332,7.173,7.454,14.848
08/18/21 10:45:00,10.530,7.486,7.790,15.246
08/18/21 11:00:00,10.702,7.796,8.137,15.834
08/18/21 11:15:00,10.866,8.059,8.430,15.900
08/18/21 11:30:00,11.006,8.316,8.722,15.964
08/18/21 11:45:00,11.250,8.602,8.913,16.641
08/18/21 12:00:00,11.469,8.905,9.174,17.179
08/18/21 12:15:00,11.698,9.219,9.413,17.382
08/18/21 12:30:00,11.916,9.529,9.686,17.593
08/18/21 12:45:00,12.130,9.835,9.954,17.654
08/18/21 13:00:00,12.323,10.112,10.237,18.240
08/18/21 13:15:00,12.538,10.401,10.421,18.366
08/18/21 13:30:00,12.722,10.663,10.559,18.365
08/18/21 13:45:00,12.895,10.893,11.725,18.409
08/18/21 14:00:00,13.043,11.090,12.195,18.338
08/18/21 14:15:00,13.153,11.254,11.642,18.018
08/18/21 14:30:00,13.210,11.371,11.576,17.634
08/18/21 14:45:00,13.306,11.589,13.054,19.526
08/18/21 15:00:00,13.469,11.845,14.529,20.856
08/18/21 15:15:00,13.663,12.128,16.055,22.417
08/18/21 15:30:00,13.918,12.417,17.193,23.055
08/18/21 15:45:00,14.545,12.719,18.405,24.121
08/18/21 16:00:00,15.412,13.008,18.701,24.226
08/18/21 16:15:00,15.727,13.252,18.451,23.048
08/18/21 16:30:00,15.907,13.407,16.007,19.047
08/18/21 16:45:00,15.491,13.511,14.232,16.271
08/18/21 17:00:00,15.193,13.620,13.037,15.099
08/18/21 17:15:00,14.946,13.714,12.199,14.511
08/18/21 17:30:00,14.762,13.819,11.733,14.265
08/18/21 17:45:00,14.628,13.891,11.362,14.364
08/18/21 18:00:00,14.536,13.954,11.123,14.457
08/18/21 18:15:00,14.462,13.978,10.979,14.750
08/18/21 18:30:00,14.396,13.973,10.692,14.551
08/18/21 18:45:00,14.324,13.928,10.263,14.099
08/18/21 19:00:00,14.252,13.855,9.848,13.556
08/18/21 19:15:00,14.176,13.763,9.473,13.272
08/18/21 19:30:00,14.098,13.649,9.160,13.147
08/18/21 19:45:00,14.027,13.532,8.846,12.980
08/18/21 20:00:00,13.960,13.410,8.593,12.731
08/18/21 20:15:00,13.900,13.284,8.324,12.557
08/18/21 20:30:00,13.843,13.157,8.054,12.269
08/18/21 20:45:00,13.786,13.023,7.798,11.883
08/18/21 21:00:00,13.730,12.882,7.599,11.865
08/18/21 21:15:00,13.675,12.742,7.392,11.806
08/18/21 21:30:00,13.607,12.588,7.163,11.475
08/18/21 21:45:00,13.542,12.432,6.960,11.238
08/18/21 22:00:00,13.479,12.275,6.756,11.181
08/18/21 22:15:00,13.424,12.124,6.561,11.113
08/18/21 22:30:00,13.359,11.966,6.355,10.829
08/18/21 22:45:00,13.296,11.809,6.150,10.693
08/18/21 23:00:00,13.224,11.646,5.914,10.081
08/18/21 23:15:00,13.141,11.473,5.663,9.774
08/18/21 23:30:00,13.057,11.301,5.366,9.027
08/18/21 23:45:00,12.965,11.119,5.116,8.587
08/19/21 00:00:00,12.874,10.939,4.874,8.366
08/19/21 00:15:00,12.787,10.770,4.646,8.057
08/19/21 00:30:00,12.693,10.577,4.400,7.668
08/19/21 00:45:00,12.595,10.383,4.126,7.368
08/19/21 01:00:00,12.505,10.210,3.963,7.470
08/19/21 01:15:00,12.420,10.041,3.748,7.303
08/19/21 01:30:00,12.335,9.864,3.558,7.261
08/19/21 01:45:00,12.255,9.701,3.426,7.374
08/19/21 02:00:00,12.171,9.527,3.249,7.001
08/19/21 02:15:00,12.086,9.359,3.070,6.927
08/19/21 02:30:00,11.993,9.182,2.845,6.596
08/19/21 02:45:00,11.898,9.007,2.645,6.368
08/19/21 03:00:00,11.815,8.849,2.496,6.542
08/19/21 03:15:00,11.736,8.702,2.351,6.517
08/19/21 03:30:00,11.655,8.548,2.205,6.547
08/19/21 03:45:00,11.573,8.391,2.042,6.374
08/19/21 04:00:00,11.487,8.224,1.896,6.170
08/19/21 04:15:00,11.396,8.056,1.744,5.693
08/19/21 04:30:00,11.312,7.907,1.566,5.707
08/19/21 04:45:00,11.216,7.740,1.401,5.309
08/19/21 05:00:00,11.119,7.580,1.231,5.261
08/19/21 05:15:00,11.026,7.429,1.072,4.890
08/19/21 05:30:00,10.933,7.274,0.948,5.029
08/19/21 05:45:00,10.841,7.124,0.804,4.890
08/19/21 06:00:00,10.754,6.980,0.646,4.911
08/19/21 06:15:00,10.661,6.827,0.513,4.340
08/19/21 06:30:00,10.563,6.674,0.358,4.102
08/19/21 06:45:00,10.469,6.522,0.282,4.193
08/19/21 07:00:00,10.406,6.395,0.482,4.623
08/19/21 07:15:00,10.361,6.283,0.905,5.509
08/19/21 07:30:00,10.338,6.205,1.411,6.685
08/19/21 07:45:00,10.325,6.139,1.929,7.588
08/19/21 08:00:00,10.319,6.094,2.505,8.587
08/19/21 08:15:00,10.334,6.083,3.112,9.531
08/19/21 08:30:00,10.368,6.116,3.728,10.521
08/19/21 08:45:00,10.430,6.197,4.387,11.447
08/19/21 09:00:00,10.518,6.318,5.056,12.388
08/19/21 09:15:00,10.609,6.455,5.805,13.324
08/19/21 09:30:00,10.689,6.615,6.491,13.922
08/19/21 09:45:00,10.722,6.780,6.878,13.876
08/19/21 10:00:00,10.820,6.998,7.215,14.095
08/19/21 10:15:00,10.916,7.236,7.501,14.125
08/19/21 10:30:00,11.018,7.483,7.784,14.232
08/19/21 10:45:00,11.119,7.734,8.060,14.445
08/19/21 11:00:00,11.196,7.978,8.316,14.964
08/19/21 11:15:00,11.307,8.237,8.624,15.146
08/19/21 11:30:00,11.453,8.503,8.785,15.228
08/19/21 11:45:00,11.598,8.765,9.022,15.236
08/19/21 12:00:00,11.718,9.029,9.410,15.737
08/19/21 12:15:00,11.859,9.296,9.692,16.085
08/19/21 12:30:00,12.033,9.588,9.894,16.196
08/19/21 12:45:00,12.192,9.852,10.095,16.394
08/19/21 13:00:00,12.346,10.087,10.274,16.341
08/19/21 13:15:00,12.496,10.316,10.438,16.463
08/19/21 13:30:00,12.653,10.539,10.718,16.780
08/19/21 13:45:00,12.793,10.759,12.320,16.932
08/19/21 14:00:00,12.948,10.998,13.958,17.296
08/19/21 14:15:00,13.085,11.212,14.442,19.004
